x,y,Street Address,Postcode,Charge Type
340363,730622,PANMURE STREET,DD1 2DB,Free
340363,730622,ATM on Level,DD1 2DB,Free
340437,730522,MURRAYGATE,DD1 2EA,Free
340437,730522,MURRAYGATE,DD1 2EA,Free
340437,730522,MURRAYGATE,DD1 2EA,Free
340437,730522,MURRAYGATE,DD1 2EA,Free
340437,730522,MURRAYGATE,DD1 2EA,Free
340437,730522,Murraygate,DD1 2EA,Free
340423,730439,/ Murraygate,DD1 2EE,Free
340423,730439,/ Murraygate,DD1 2EE,Free
340423,730439,/ Murraygate,DD1 2EE,Free
340491,730438,SEAGATE,DD1 2EH,Surcharging
340590,730561,Seagate bus station SEAGATE,DD1 2HR,Free
340703,730790,King Street,DD1 2JY,Free
341037,730340,Brook Street,DD1 3BP,Free
340746,730558,Allan Street,DD1 3HE,Surcharging
340132,730006,NETHERGATE,DD1 4EH,Free
340132,730006,NETHERGATE,DD1 4EH,Free
340168,730044,Nethergate,DD1 4EL,Free
340199,730072,NETHERGATE,DD1 4ER,Free
339808,729895,BALFOUR STREET,DD1 4HN,Free
339572,729934,DUNDEE UNIVERSITY STUDENTS ASSOCIATION,DD1 4HP,Free
339016,729759,Perth Road,DD1 4JD,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
339005,730390,HIGH STREET,DD1 9LY,Free
374370,764682,MAIN ROAD,DD10 0BA,Free
382969,772526,KING STREET,DD10 0RA,Free
383085,772656,KING STREET,DD10 0RG,Free
371245,757449,LOWER CRAIGO STREET,DD10 8AU,Surcharging
371417,757967,High Street,DD10 8DB,Free
371409,757958,HIGH STREET,DD10 8JF,Free
371461,758208,Murray Street,DD10 8JY,Free
371458,757992,HIGH STREET,DD10 8LT,Free
371458,757992,HIGH STREET,DD10 8LT,Free
371296,757720,WESTERN ROAD,DD10 8LW,Free
371816,757854,St. Peters Place,DD10 8PL,Surcharging
371464,757901,HIGH STREET,DD10 8QZ,Free
371537,758880,NORTH ESK ROAD,DD10 8TE,Free
371416,759552,NEWMANSWALLS AVENUE,DD10 9DD,Free
364722,740840,High Street,DD11 1BP,Free
364350,741054,HIGH STREET,DD11 1DY,Free
364350,741054,HIGH STREET,DD11 1DY,Free
364350,741054,HIGH STREET,DD11 1DY,Free
364255,741129,HIGH STREET,DD11 1HY,Free
364101,741465,GRANT ROAD,DD11 1JU,Surcharging
364363,741585,Montrose Road,DD11 1LE,Surcharging
364363,741585,Fisheracre,DD11 1LE,Surcharging
364262,740825,COMMERCE STREET,DD11 1ND,Free
364262,740825,Commerce Street,DD11 1ND,Free
364227,740882,BROTHOCK BRIDGE,DD11 1NH,Free
364227,740882,BROTHOCK BRIDGE,DD11 1NH,Free
364227,740882,BROTHOCK BRIDGE,DD11 1NP,Free
364227,740882,BROTHOCK BRIDGE,DD11 1NP,Free
364227,740882,BROTHOCK BRIDGE,DD11 1NP,Free
363919,740445,Ladyloan,DD11 1PW,Surcharging
363403,740136,Queens Drive,DD11 1QD,Surcharging
364211,742085,BRECHIN ROAD,DD11 1TA,Surcharging
364211,742085,Brechin Road,DD11 1TA,Free
364047,741179,HUME STREET,DD11 1UH,Free
364047,741179,HUME STREET,DD11 1UH,Free
363032,740954,Arbirlot Road,DD11 2EN,Free
362436,739977,UNIT,DD11 2NQ,Free
363861,740916,Keptie Street,DD11 3AF,Free
363720,741300,CAIRNIE STREET,DD11 3BQ,Free
362722,742375,ATMRC Ltd Kings Works,DD11 3RD,Free
363408,742715,Millfield Road,DD11 4HN,Free
359218,749673,Gardyne Street,DD11 4SN,Free
365128,741801,Mayfield Terrace,DD11 5DJ,Free
364742,742562,Montrose Road,DD11 5JP,Surcharging
338944,729744,Perth Road,DD2 1AE,Free
338944,729744,Perth Road,DD2 1AE,Free
338518,730292,Blackness Road,DD2 1RT,Free
336570,730654,NINEWELLS HOSPITAL,DD2 1UB,Free
339978,729588,RIVERSIDE DEVELOPMENT,DD2 1UG,Free
337004,730764,GLAMIS ROAD,DD2 2ES,Free
336942,731341,CHARLESTON DRIVE,DD2 2HB,Surcharging
338886,730727,Lochee Road,DD2 2LD,Surcharging
338701,730552,City Road,DD2 2LU,Surcharging
338348,731008,City Road,DD2 2PW,Free
337171,732364,DRYBURGH STREET,DD2 2SU,Free
337919,731486,High Street,DD2 3AT,Free
337824,731719,HIGH STREET,DD2 3DB,Surcharging
337645,733338,Turnberry Avenue,DD2 3TP,Surcharging
337609,733258,Turnberry Avenue,DD2 3WN,Free
338185,731763,HAREFIELD ROAD,DD2 3XN,Free
338185,731763,Stack Leisure Centre,DD2 3XN,Free
338185,731763,Stack Leisure Centre,DD2 3XN,Free
338185,731763,Stack Leisure Centre,DD2 3XN,Free
335643,731084,Charleston Drive,DD2 4AE,Free
336082,731041,ORLEANS PLACE,DD2 4BH,Free
336311,731942,Brownhill Road,DD2 4LN,Surcharging
336203,731736,Craigowan Road,DD2 4NN,Free
336792,731996,Buttars Loan,DD2 4PE,Surcharging
336555,731668,Craigmount Road,DD2 4QF,Free
335703,731488,SOUTH ROAD,DD2 4SR,Free
